Customer,ST,GENDER,Customer Lifetime Value,Income,Monthly Premium Auto,Policy Type,Vehicle Class,Total Claim Amount
RB50392,Washington,,,0.0,1000.0,Personal Auto,Four-Door Car,2.704934
QZ44356,Arizona,F,6979535900.0,0.0,94.0,Personal Auto,Four-Door Car,1131.464935
AI49188,Nevada,F,12887431700.0,48767.0,108.0,Personal Auto,Two-Door Car,566.472247
WW63253,California,M,7645861800.0,0.0,106.0,Corporate Auto,SUV,529.881344
GA49547,Washington,M,5363076500.0,36357.0,68.0,Personal Auto,Four-Door Car,17.269323
OC83172,Oregon,F,8256297800.0,62902.0,69.0,Personal Auto,Two-Door Car,159.383042
XZ87318,Oregon,F,5380898600.0,55350.0,67.0,Corporate Auto,Four-Door Car,321.6
CF85061,Arizona,M,7216100300.0,0.0,101.0,Corporate Auto,Four-Door Car,363.02968
DY87989,Oregon,M,24127504000.0,14072.0,71.0,Corporate Auto,Four-Door Car,511.2
BQ94931,Oregon,F,7388178100.0,28812.0,93.0,Special Auto,Four-Door Car,425.527834
SX51350,California,M,4738992000.0,0.0,67.0,Personal Auto,Four-Door Car,482.4
VQ65197,California,,8197197100.0,0.0,110.0,Personal Auto,SUV,528.0
DP39365,California,,8798797000.0,77026.0,110.0,Corporate Auto,Four-Door Car,472.029737
SJ95423,Arizona,,8819018900.0,99845.0,110.0,Corporate Auto,SUV,528.0
IL66569,California,,5384431700.000001,83689.0,70.0,Corporate Auto,Four-Door Car,307.139132
BW63560,Oregon,,7463139400.0,24599.0,64.0,Corporate Auto,Four-Door Car,42.920271
FV94802,Nevada,,2566867800.0,25049.0,67.0,Personal Auto,Two-Door Car,454.245098
OE15005,Cali,,3945241600.0,28855.0,101.0,Personal Auto,SUV,647.442031
WC83389,Oregon,,5710333100.000001,51148.0,72.0,Personal Auto,Four-Door Car,308.981664
FL50705,California,,8162617100.0,66140.0,101.0,Corporate Auto,Four-Door Car,484.8
ZK25313,Oregon,,2872051300.0,57749.0,74.0,Personal Auto,Two-Door Car,355.2
QK46697,Washington,M,6177109300.000001,61040.0,79.0,Personal Auto,Two-Door Car,20.382876
YH23384,Arizona,,24127504000.0,14072.0,71.0,Personal Auto,Four-Door Car,511.2
TZ98966,Nevada,,2450191000.0,0.0,73.0,Corporate Auto,Four-Door Car,554.376763
HM55802,California,,2392107900.0,17870.0,61.0,Corporate Auto,Four-Door Car,439.2
FS42516,Oregon,,5802066000.0,97541.0,72.0,Personal Auto,Four-Door Car,389.185006
US89481,California,,3946372100.0,0.0,111.0,Personal Auto,Four-Door Car,799.2
HS14476,Washington,M,9162063200.0,29723.0,80.0,Personal Auto,Four-Door Car,20.985105
GE62437,AZ,,12902560100.0,86584.0,111.0,Personal Auto,Four-Door Car,532.8
EJ77678,Oregon,,3235360500.0,75690.0,80.0,Personal Auto,Four-Door Car,384.0
SV85652,Arizona,,2454583500.0,23158.0,63.0,Personal Auto,Four-Door Car,322.294043
UL64533,Nevada,,18975456100.0,65999.0,237.0,Corporate Auto,Luxury SUV,615.927769
PF41800,California,,4715321300.0,0.0,65.0,Personal Auto,Four-Door Car,308.15089
HD95276,Washington,F,4737871700.0,0.0,130.0,Personal Auto,SUV,23.820158
SK67821,Oregon,,4932916300.0,37260.0,62.0,Corporate Auto,Four-Door Car,15.437681
YV55495,Arizona,,5744229700.0,68987.0,71.0,Personal Auto,Four-Door Car,204.475147
KY38074,California,,13891735700.0,42305.0,117.0,Personal Auto,Four-Door Car,561.6
DM79012,Oregon,,7380976700.0,65706.0,91.0,Personal Auto,Four-Door Car,436.8
CM61827,Oregon,,3090034099.9999995,0.0,90.0,Personal Auto,Two-Door Car,648.0
WC35801,Arizona,,2521633100.0,53243.0,66.0,Personal Auto,Four-Door Car,157.397849
QG25316,Nevada,,2652061800.0,0.0,70.0,Corporate Auto,Two-Door Car,484.318536
MB98372,Oregon,,2771045000.0,50071.0,71.0,Corporate Auto,Two-Door Car,18.918935
IL19217,California,,3939006400.0,60021.0,99.0,Personal Auto,Four-Door Car,882.871945
SR38658,Arizona,,12231879700.0,43244.0,103.0,Personal Auto,Sports Car,494.4
YD87931,Washington,M,4951656100.0,46896.0,35354.0,Personal Auto,Four-Door Car,31.707317
HG65722,Oregon,,12819102900.0,10105.0,172.0,Personal Auto,SUV,0.517753
BU27331,Arizona,,4468510500.0,0.0,73.0,Personal Auto,Four-Door Car,579.165954
XM45289,Oregon,,5514344000.0,23218.0,71.0,Personal Auto,Two-Door Car,447.79344
KP34198,California,,3343875300.0000005,0.0,92.0,Corporate Auto,Four-Door Car,529.624084
SH90947,Arizona,,2294478900.0,0.0,62.0,Personal Auto,Four-Door Car,313.023175
WE95729,Oregon,,36707426400.0,24804.0,104.0,Personal Auto,SUV,593.830288
PY51963,California,,33473349500.0,33190.0,106.0,Corporate Auto,SUV,508.8
RB69909,Nevada,,7983431700.0,36014.0,69.0,Special Auto,Four-Door Car,173.956072
NW21079,Washington,F,4879384800.0,67163.0,61.0,Personal Auto,Two-Door Car,33.192803
FR46645,California,,4293997300.0,16701.0,113.0,Personal Auto,Four-Door Car,831.625979
SY17488,Arizona,,7164395500.0,46623.0,91.0,Corporate Auto,Four-Door Car,436.8
AP67935,California,,7619515800.0,64749.0,64.0,Special Auto,Four-Door Car,302.56519
FS37417,Arizona,,3958002800.0,0.0,101.0,Personal Auto,SUV,484.8
ML29312,Oregon,,4499493300.0,16969.0,124.0,Personal Auto,SUV,704.768111
UB61619,Oregon,,4059567400.0,11621.0,108.0,Personal Auto,Four-Door Car,518.4
CD86811,Arizona,,4458113400.0,17622.0,65.0,Personal Auto,Four-Door Car,312.0
RU83859,California,,8110333100.0,11489.0,105.0,Personal Auto,Two-Door Car,504.0
FG63582,Oregon,,3339764900.0,0.0,94.0,Personal Auto,Two-Door Car,863.327324
NN71951,California,,24261017799.999996,66525.0,100.0,Personal Auto,SUV,104.331355
WB37082,Arizona,,6613973700.0,0.0,63.0,Personal Auto,Four-Door Car,676.391482
SM52139,WA,,2930693499.9999995,33663.0,73.0,Personal Auto,Four-Door Car,350.4
FL82372,Oregon,,8672194300.0,22547.0,112.0,Corporate Auto,SUV,537.6
DP45816,AZ,,11638669300.0,61486.0,97.0,Personal Auto,Two-Door Car,465.258644
GW33762,Oregon,,6846150300.0,0.0,95.0,Personal Auto,Two-Door Car,456.0
RZ33670,California,,11727776499.999998,29879.0,102.0,Personal Auto,Four-Door Car,500.254235
PY70169,Oregon,,22643834800.0,93011.0,113.0,Personal Auto,SUV,281.451042
MO91628,Oregon,,2614474300.0,65186.0,65.0,Personal Auto,Two-Door Car,5.434505
HW87852,Oregon,,2451752700.0,26840.0,64.0,Personal Auto,Four-Door Car,307.2
HB20453,Oregon,,6781270200.0,0.0,104.0,Personal Auto,Sports Car,982.399613
BN87372,Oregon,,4974801500.0,75644.0,65.0,Personal Auto,Two-Door Car,467.803638
YX23800,Oregon,,8591604900.0,38984.0,73.0,Personal Auto,Four-Door Car,350.4
DZ87709,Oregon,,5592161400.0,71811.0,71.0,Personal Auto,Four-Door Car,29.03416
XW13033,Nevada,,8009472800.0,20961.0,67.0,Personal Auto,Four-Door Car,321.6
SP81997,Washington,F,,41275.0,96.0,Personal Auto,Four-Door Car,41.122303
OM82309,California,,58166553500.0,61321.0,186.0,Personal Auto,Luxury Car,427.63121
ZU35962,California,,8025229400.0,0.0,77.0,Personal Auto,Two-Door Car,25.807685
VH85817,California,,5780182200.0,51066.0,74.0,Personal Auto,Four-Door Car,787.993313
DT85712,California,,4118539100.0,34378.0,102.0,Personal Auto,SUV,489.6
YJ88573,Nevada,,2523070200.0,43072.0,63.0,Personal Auto,Four-Door Car,302.4
SQ19467,Oregon,,6554216400.0,25222.0,90.0,Personal Auto,Four-Door Car,475.623251
YB66933,Washington,F,5382751999.999999,77552.0,68.0,Corporate Auto,Four-Door Car,45.215059
ET79815,California,,5926729399.999999,23091.0,96.0,Personal Auto,Four-Door Car,460.8
QC35222,California,,2683470700.0,48269.0,69.0,Corporate Auto,Four-Door Car,282.151207
CJ15590,Oregon,,2695182400.0,32720.0,67.0,Personal Auto,Four-Door Car,321.6
OI48267,California,,6047025200.0,20396.0,76.0,Personal Auto,Four-Door Car,364.8
JY67916,Oregon,,13171012800.0,21513.0,119.0,Personal Auto,Two-Door Car,679.827592
OW15518,Washington,F,15950019500.0,0.0,87.0,Personal Auto,Two-Door Car,46.041452
CZ33664,Oregon,,2527653800.0,80744.0,63.0,Corporate Auto,Four-Door Car,11.879037
WK30175,Oregon,,2672095800.0,52822.0,67.0,Corporate Auto,Two-Door Car,350.529033
ON44465,California,,5313294000.0,0.0,77.0,Personal Auto,Four-Door Car,863.3947
TV87155,Oregon,,20946192500.0,69738.0,74.0,Personal Auto,Four-Door Car,492.127532
KH48895,AZ,,8375353900.0,17780.0,109.0,Personal Auto,SUV,132.588288
NZ30757,California,,4801661500.0,18107.0,62.0,Personal Auto,Four-Door Car,297.6
RI22468,AZ,,5745943299.999999,57740.0,74.0,Personal Auto,Four-Door Car,269.905129
FZ30935,Oregon,,6066116000.0,32627.0,76.0,Personal Auto,Two-Door Car,380.036697
UG93476,California,,8002308300.0,0.0,107.0,Personal Auto,SUV,513.6
AB96670,California,,2393915400.0,0.0,70.0,Personal Auto,Four-Door Car,425.266308
XK64261,Oregon,,4762817900.0,65795.0,62.0,Corporate Auto,Two-Door Car,49.011099
EV68375,California,,4330386000.0,60475.0,107.0,Personal Auto,Four-Door Car,513.6
UN51653,California,,9402729800.0,0.0,130.0,Personal Auto,SUV,936.0
TO96662,Oregon,,6966694500.0,41837.0,88.0,Personal Auto,Four-Door Car,142.062768
MR52087,California,,7694064300.0,32303.0,65.0,Personal Auto,Four-Door Car,45.152521
DE75225,Oregon,,8717561100.0,0.0,117.0,Personal Auto,SUV,561.6
EP80820,California,,5928748500.0,40531.0,74.0,Personal Auto,Two-Door Car,30.567357
GU99037,Oregon,,2452977300.0,79898.0,62.0,Corporate Auto,Four-Door Car,271.606799
WI57118,California,,6701571700.000001,56398.0,85.0,Personal Auto,Four-Door Car,408.0
GP39118,Washington,M,4996552700.0,71600.0,63.0,Personal Auto,Two-Door Car,46.158117
MQ14219,AZ,,8492698800.0,27804.0,109.0,Personal Auto,SUV,784.8
KN20603,Oregon,,7713494000.0,45506.0,66.0,Personal Auto,Four-Door Car,316.8
SG20925,Washington,F,5185797600.0,99428.0,6464.0,Personal Auto,Four-Door Car,48.046869
JI70886,California,,7290069800.0,0.0,102.0,Corporate Auto,SUV,489.6
VF72557,Oregon,,4772943800.0,20993.0,133.0,Personal Auto,SUV,638.4
OX28638,AZ,,6806491400.0,37839.0,86.0,Personal Auto,Two-Door Car,465.633954
SK55033,California,,2469781300.0,92711.0,62.0,Personal Auto,Two-Door Car,368.400146
OO88645,California,,3103923000.0,74665.0,78.0,Corporate Auto,Four-Door Car,236.902001
FM14335,Washington,F,10484915400.0,61108.0,89.0,Personal Auto,Four-Door Car,49.451117
CW82151,California,,8902737600.0,46833.0,112.0,Personal Auto,Sports Car,64.109663
DY22043,Oregon,,5499447200.0,88768.0,68.0,Personal Auto,Two-Door Car,326.4
SH36774,California,,15023598600.0,28262.0,192.0,Personal Auto,Luxury SUV,921.6
EM43724,Nevada,,2509107900.0,33555.0,63.0,Personal Auto,Four-Door Car,101.89645
FH85960,Oregon,,31221748100.0,42780.0,113.0,Personal Auto,Four-Door Car,542.4
XA55993,Oregon,,3133503400.0000005,58850.0,78.0,Personal Auto,Four-Door Car,143.747794
GO36627,AZ,,3837451900.0,21880.0,97.0,Special Auto,Four-Door Car,424.077159
QH48047,Oregon,,11790496200.000002,25251.0,66.0,Personal Auto,Four-Door Car,316.8
HS28694,Washington,F,2829863900.0,25317.0,71.0,Personal Auto,Two-Door Car,50.422181
UH65059,AZ,,4305808300.0,24188.0,109.0,Personal Auto,Sports Car,523.2
FV21968,Nevada,,5973976899.999999,41611.0,74.0,Special Auto,Four-Door Car,113.801497
QA87025,Oregon,,5670442400.0,28406.0,72.0,Personal Auto,Four-Door Car,192.87572
TQ13499,AZ,,4731749300.0,69833.0,118.0,Personal Auto,Four-Door Car,828.662719
BU44523,AZ,,8026379600.0,0.0,74.0,Corporate Auto,Four-Door Car,532.8
MS41162,AZ,,4022963500.0,0.0,117.0,Personal Auto,SUV,975.107098
PU25891,Oregon,,9618310900.0,80536.0,119.0,Special Auto,Sports Car,53.798708
LH92841,Washington,F,7255953800.0,88891.0,89.0,Personal Auto,Four-Door Car,50.528355
SX26335,Oregon,,9552926900.0,97732.0,79.0,Personal Auto,Four-Door Car,289.9122
AZ95587,AZ,F,10388553200.0,61222.0,89.0,Special Auto,Four-Door Car,392.604371
DS81757,Oregon,M,2470121200.0,0.0,74.0,Personal Auto,Two-Door Car,721.242206
OJ94107,AZ,M,5619068500.0,50335.0,140.0,Personal Auto,SUV,456.52385
LP84436,California,F,9047119200.0,0.0,127.0,Personal Auto,Sports Car,1087.995426
FF22360,Washington,F,2687314099.9999995,82210.0,68.0,Personal Auto,Four-Door Car,51.961915
LM19287,Oregon,F,3731504600.0,0.0,96.0,Personal Auto,Four-Door Car,460.8
ZU18643,Nevada,M,3660770300.0,64495.0,92.0,Corporate Auto,Four-Door Car,251.992083
