name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Intro,0.0,0.385,3,-18.509,0,0.0,0.238,0.978,0.0,0.0,0.0,6453
What Up Gangsta,0.68,0.767,11,-2.387,0,0.0397,0.00213,0.0,0.0996,0.344,82.518,179467
Patiently Waiting,0.538,0.675,0,-2.3,1,0.335,0.245,0.0,0.362,0.519,78.985,288880
Many Men (Wish Death),0.653,0.826,6,-2.93,0,0.354,0.0153,0.00146,0.131,0.416,108.52,256227
In Da Club,0.902,0.72,6,-2.776,0,0.347,0.26,0.0,0.0749,0.805,90.059,193467
High All The Time,0.663,0.911,6,-1.792,1,0.269,0.0273,0.0,0.0769,0.562,87.3,269373
Heat,0.519,0.968,6,-2.789,0,0.558,0.26,0.0,0.346,0.68,81.912,254893
If I Can't,0.892,0.631,11,-2.522,0,0.302,0.244,0.0,0.0235,0.838,93.975,196640
Blood Hound,0.781,0.898,1,-2.247,1,0.243,0.0109,0.0,0.238,0.931,167.833,239987
Back Down,0.784,0.633,2,-2.388,1,0.17,0.262,5.82e-06,0.0743,0.227,89.017,243013
P.I.M.P.,0.7,0.758,10,-3.012,0,0.342,0.0444,1.3e-05,0.0401,0.889,78.693,249467
Like My Style,0.806,0.827,5,-2.237,0,0.336,0.232,0.0,0.314,0.815,125.305,193253
Poor Lil Rich,0.718,0.824,11,-1.392,1,0.196,0.0227,0.00617,0.244,0.366,88.511,199213
21 Questions,0.576,0.807,6,-3.908,0,0.317,0.353,0.000363,0.0512,0.908,90.012,224427
Don't Push Me,0.719,0.791,1,-3.011,1,0.245,0.0486,0.0,0.0721,0.713,85.603,248893
Gotta Make It To Heaven,0.448,0.852,7,-2.781,1,0.395,0.0295,5.64e-06,0.203,0.62,91.993,240680
"Wanksta - From ""8 Mile"" Soundtrack",0.806,0.867,1,-3.538,1,0.157,0.02,0.0,0.131,0.904,81.033,219400
U Not Like Me,0.806,0.847,11,-1.788,1,0.317,0.0556,0.0,0.0617,0.832,91.449,255667
Lifes On The Line,0.672,0.84,1,-5.191,1,0.342,0.00848,0.0,0.171,0.768,94.669,218480
Intro,0.0,0.36,3,-18.245,0,0.0,0.142,0.977,0.0,0.0,0.0,6223
What Up Gangsta - Album Version (Edited),0.698,0.749,6,-2.727,0,0.0353,0.00183,0.0,0.103,0.278,82.509,179493
Patiently Waiting - Album Version (Edited),0.73,0.646,0,-2.694,1,0.301,0.23,0.0,0.204,0.525,78.965,288880
Many Men (Wish Death) - Album Version (Edited),0.578,0.81,6,-3.331,0,0.427,0.0108,0.00323,0.126,0.374,108.173,252253
In Da Club,0.906,0.663,11,-3.955,0,0.355,0.325,0.0,0.0883,0.847,90.042,193467
High All The Time - Album Version (Edited),0.731,0.838,6,-2.46,1,0.224,0.0298,1.06e-05,0.0738,0.57,87.283,269333
If I Can't - Album Version (Edited),0.874,0.606,11,-2.791,0,0.308,0.243,0.0,0.0313,0.846,93.947,196293
Blood Hound - Album Version (Edited),0.772,0.888,1,-2.878,1,0.101,0.00866,0.000124,0.247,0.96,167.832,240187
Back Down - Album Version (Edited),0.796,0.616,2,-2.703,1,0.168,0.229,8.18e-05,0.0786,0.235,88.999,243107
P.I.M.P.,0.66,0.733,10,-3.315,0,0.35,0.0346,0.000191,0.0388,0.871,79.772,249400
Like My Style - Album Version (Edited),0.806,0.813,5,-2.545,0,0.337,0.244,0.0,0.307,0.822,125.166,193373
Poor Lil Rich - Album Version (Edited),0.761,0.808,11,-2.21,1,0.138,0.0235,0.111,0.182,0.358,88.525,199093
21 Questions,0.604,0.81,6,-4.1,0,0.307,0.346,0.000143,0.0486,0.911,92.099,224400
Don't Push Me - Album Version (Edited),0.596,0.732,5,-3.667,0,0.283,0.0394,4.76e-06,0.068,0.68,170.913,248973
Gotta Make It To Heaven - Album Version (Edited),0.514,0.833,7,-3.061,1,0.4,0.0263,3.48e-05,0.307,0.62,117.729,240560
Wanksta - Soundtrack Version,0.789,0.858,1,-3.775,1,0.159,0.0191,0.0,0.119,0.908,162.073,219533
U Not Like Me - Album Version (Edited),0.822,0.829,11,-1.962,1,0.327,0.0352,0.0,0.0505,0.772,91.638,255707
Lifes On The Line - Album Version (Edited),0.703,0.781,1,-5.831,1,0.335,0.0056,0.0,0.159,0.798,93.946,218493
Intro,0.0,0.388,3,-18.614,0,0.0,0.223,0.963,0.0,0.0,0.0,6240
What Up Gangsta - Album Version (Edited),0.697,0.736,2,-2.707,1,0.0372,0.0014,0.0,0.1,0.294,82.477,179493
Patiently Waiting - Album Version (Edited),0.717,0.625,0,-2.692,1,0.304,0.256,0.0,0.353,0.521,78.944,288880
Many Men (Wish Death) - Album Version (Edited),0.545,0.809,6,-3.314,0,0.413,0.0103,0.00526,0.132,0.347,161.349,252253
In Da Club,0.901,0.66,11,-3.952,0,0.394,0.316,0.0,0.0878,0.808,90.005,193467
High All The Time - Album Version (Edited),0.729,0.846,6,-2.456,1,0.2,0.0275,6.56e-06,0.0811,0.548,87.288,269333
If I Can't - Album Version (Edited),0.881,0.608,11,-2.792,0,0.3,0.218,0.0,0.0275,0.85,93.95,196293
Blood Hound - Album Version (Edited),0.773,0.885,1,-2.85,1,0.0991,0.009,6.14e-05,0.277,0.948,167.953,240200
Back Down - Album Version (Edited),0.794,0.61,2,-2.719,1,0.162,0.217,5.84e-05,0.0794,0.237,89.034,243107
P.I.M.P.,0.836,0.743,10,-3.314,0,0.326,0.0457,0.000112,0.0395,0.879,85.205,249400
Like My Style - Album Version (Edited),0.812,0.815,5,-2.543,0,0.338,0.187,0.0,0.323,0.808,125.248,193373
Poor Lil Rich - Album Version (Edited),0.759,0.809,11,-2.3,1,0.155,0.0196,0.247,0.221,0.334,88.525,199093
21 Questions,0.685,0.81,6,-4.119,0,0.272,0.335,0.000318,0.0541,0.909,92.972,224400
Don't Push Me - Album Version (Edited),0.581,0.726,5,-3.612,0,0.27,0.0406,1.13e-06,0.0743,0.679,171.49,248973
Gotta Make It To Heaven - Album Version (Edited),0.571,0.845,7,-3.086,1,0.36,0.0239,2.01e-05,0.266,0.637,91.365,240560
Wanksta - Soundtrack Version,0.799,0.85,1,-3.817,1,0.179,0.0213,0.0,0.115,0.91,81.002,219533
U Not Like Me - Album Version (Edited),0.837,0.83,11,-1.981,1,0.317,0.0344,0.0,0.0639,0.78,91.6,255707
Lifes On The Line - Album Version (Edited),0.737,0.772,1,-5.859,1,0.323,0.00473,0.0,0.182,0.798,93.898,218493
Intro,0.725,0.66,1,-9.988,1,0.186,0.00616,6.65e-05,0.243,0.412,103.562,249333
Ruff Ryders Anthem,0.877,0.61,10,-7.556,0,0.283,0.102,0.0,0.34,0.639,91.032,214773
F&*%@#' Wit' D,0.879,0.771,9,-5.204,1,0.329,0.12,0.0,0.124,0.882,100.8,138027
The Storm (Skit),0.392,0.93,10,-12.883,0,0.811,0.874,0.0,0.445,0.223,82.605,59773
Look Thru My Eyes,0.904,0.505,11,-12.211,1,0.278,0.276,0.0,0.121,0.709,95.786,231364
Get At Me Dog,0.696,0.615,1,-9.342,1,0.453,0.0522,0.0,0.644,0.544,97.584,243467
Let Me Fly,0.753,0.704,7,-7.856,1,0.281,0.395,1.39e-05,0.139,0.242,96.762,252493
X-Is Coming,0.639,0.566,9,-7.33,0,0.399,0.0416,1.85e-06,0.183,0.568,173.576,258531
Damien,0.844,0.685,6,-8.954,1,0.311,0.322,0.0,0.105,0.379,96.832,222173
How's It Goin' Down,0.909,0.545,6,-11.774,1,0.27,0.341,0.00437,0.123,0.831,90.434,243400
Mickey (Skit),0.699,0.56,6,-14.46,0,0.894,0.853,0.0,0.566,0.637,135.526,25000
Crime Story,0.767,0.498,0,-10.925,1,0.246,0.247,0.000923,0.0818,0.718,172.923,227693
Stop Being Greedy,0.67,0.708,10,-6.156,0,0.196,0.00885,0.0,0.182,0.135,101.345,217373
ATF,0.828,0.906,5,-6.221,1,0.277,0.00963,4.42e-05,0.133,0.195,100.013,116133
For My Dogs,0.741,0.798,4,-7.241,0,0.421,0.117,0.0,0.0631,0.715,172.262,251427
I Can Feel It,0.838,0.559,0,-9.185,1,0.199,0.127,0.000361,0.0931,0.523,95.063,253240
Prayer (Skit),0.661,0.187,3,-19.961,1,0.948,0.469,0.0,0.425,0.213,97.311,151960
The Convo,0.827,0.506,0,-6.759,1,0.413,0.0246,0.0,0.12,0.29,87.87,213773
N*&&@$ Done Started Something,0.776,0.535,11,-9.898,0,0.39,0.131,0.0,0.0905,0.82,88.577,309533
Intro,0.734,0.677,1,-9.958,1,0.229,0.00534,0.000187,0.243,0.337,103.594,249333
Ruff Ryders Anthem,0.882,0.613,10,-7.495,0,0.362,0.0972,0.0,0.277,0.677,91.014,214773
F**** Wit' D,0.881,0.768,4,-4.976,1,0.319,0.127,0.0,0.117,0.854,100.837,138027
The Storm (Skit),0.448,0.926,6,-12.889,1,0.623,0.894,0.0,0.499,0.189,114.729,59773
Look Thru My Eyes,0.897,0.507,11,-11.91,1,0.273,0.253,0.0,0.134,0.704,95.788,231364
Get At Me Dog,0.635,0.617,1,-9.007,1,0.478,0.046,0.0,0.628,0.546,94.601,243467
Let Me Fly,0.775,0.703,7,-7.761,1,0.271,0.443,1.15e-05,0.146,0.277,96.737,252493
X-Is Coming,0.641,0.555,9,-7.129,0,0.371,0.0309,1.77e-06,0.206,0.536,173.591,258531
Damien,0.853,0.685,6,-8.688,1,0.319,0.267,0.0,0.108,0.444,96.832,222173
How's It Goin' Down,0.902,0.543,6,-11.4,1,0.296,0.352,0.00948,0.121,0.856,90.457,243400
Mickey (Skit),0.696,0.572,6,-14.808,0,0.893,0.825,0.0,0.531,0.576,137.731,25000
Crime Story,0.761,0.486,0,-9.881,1,0.256,0.227,0.00134,0.0828,0.731,172.895,227693
Stop Being Greedy,0.757,0.701,10,-6.185,0,0.155,0.00997,0.0,0.152,0.147,101.511,217373
ATF,0.842,0.906,5,-6.123,1,0.289,0.00906,5.94e-05,0.151,0.184,100.057,116133
For My Dogs,0.744,0.796,4,-6.977,0,0.408,0.106,0.0,0.0571,0.705,172.31,251427
I Can Feel It,0.839,0.563,0,-8.795,1,0.188,0.116,0.00102,0.0806,0.485,95.055,253240
Prayer,0.623,0.186,3,-19.953,1,0.956,0.443,0.0,0.48,0.207,164.471,151960
The Convo,0.761,0.503,0,-6.624,1,0.469,0.0189,0.0,0.12,0.237,87.568,213773
N***** Done Started Something,0.666,0.534,11,-9.958,0,0.419,0.131,0.0,0.091,0.815,178.018,309533
Intro,0.71,0.714,1,-9.917,1,0.244,0.00619,7.11e-05,0.245,0.355,103.56,249933
Ruff Ryders' Anthem,0.88,0.577,10,-8.093,0,0.302,0.0564,1.02e-06,0.201,0.74,90.991,214440
Fuckin' Wit' D,0.88,0.795,2,-4.918,1,0.288,0.115,0.0,0.152,0.832,100.786,138027
The Storm - Skit,0.412,0.927,4,-13.042,1,0.762,0.88,0.0,0.576,0.212,109.825,60840
Look Thru My Eyes,0.904,0.642,10,-8.495,0,0.273,0.243,0.0,0.133,0.718,95.755,230427
Get At Me Dog,0.596,0.623,1,-8.444,1,0.496,0.0399,0.0,0.729,0.476,97.002,243240
Let Me Fly,0.79,0.692,7,-7.726,1,0.246,0.425,9.42e-06,0.116,0.259,96.73,252800
X-Is Coming,0.776,0.53,9,-7.741,0,0.338,0.0338,0.0,0.207,0.576,86.755,258533
Damien,0.825,0.729,10,-7.632,0,0.325,0.291,0.0,0.117,0.436,96.845,222160
How's It Goin' Down,0.912,0.596,6,-9.959,1,0.451,0.482,0.000369,0.107,0.816,90.463,282907
Mickey - Skit,0.684,0.597,6,-14.14,0,0.899,0.863,0.0,0.444,0.734,142.527,25000
Crime Story,0.76,0.541,0,-8.539,1,0.28,0.215,0.00158,0.0853,0.729,172.876,227693
Stop Being Greedy,0.689,0.703,10,-5.986,0,0.206,0.00975,0.0,0.154,0.139,101.492,216907
ATF,0.842,0.914,5,-6.083,1,0.306,0.00896,2.13e-05,0.173,0.246,100.089,116133
For My Dogs,0.729,0.838,4,-5.997,0,0.412,0.115,0.0,0.0594,0.739,172.279,251240
I Can Feel It,0.838,0.59,2,-8.385,0,0.174,0.122,0.000128,0.0942,0.526,95.047,252107
Prayer - Skit,0.717,0.186,0,-20.016,0,0.939,0.469,0.0,0.46,0.213,102.082,152133
The Convo,0.825,0.504,0,-6.596,1,0.418,0.0227,0.0,0.115,0.24,87.806,213840
Niggaz Done Started Something,0.672,0.59,2,-9.843,1,0.428,0.134,0.0,0.0988,0.691,178.102,309227
My N*****,0.811,0.669,5,-8.512,0,0.139,0.0171,0.0,0.0746,0.256,92.046,68440
Bring Your Whole Crew,0.609,0.657,7,-8.974,1,0.298,0.114,0.0,0.213,0.314,95.716,221533
Pac Man,0.817,0.216,6,-24.562,1,0.879,0.875,0.0,0.674,0.869,46.276,53067
Ain't No Way,0.554,0.721,11,-9.815,0,0.358,0.243,0.0,0.0518,0.57,82.611,291132
We Don't Give A F***,0.599,0.772,6,-10.78,1,0.359,0.00501,0.0,0.345,0.702,84.787,248000
Keep Your S*** The Hardest,0.682,0.585,11,-8.391,0,0.368,0.00131,3.07e-06,0.327,0.39,179.308,287835
Coming From,0.729,0.726,6,-7.934,1,0.311,0.252,0.0,0.104,0.796,87.949,314333
It's All Good,0.906,0.637,11,-7.832,1,0.217,0.525,1.73e-05,0.29,0.756,98.479,260040
The Omen,0.782,0.341,1,-11.425,1,0.39,0.0553,0.000892,0.0656,0.142,88.452,243733
